"CODE","BEGINNPROBENAHME_DATUM","BEGINNPROBENAHME_ZEIT","ENDEPROBENAHME_DATUM","ENDEPROBENAHME_ZEIT","WERT_NUM","Methode","BG","NG","NAME","PROBEARTID","EINHEIT","PARAMETERID_BAFU","PARAMETERGRUPPE","PARAMETER"
"915","29.07.2024","00:00","11.08.2024","23:59","0","LC-MS","0.100","0.050","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","2-4-D","Pestizide","2,4-D"
"915","29.07.2024","00:00","11.08.2024","23:59","0.004432","LC-MS","0.010","0.005","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Atrazin","Pestizide","Atrazin"
"915","29.07.2024","00:00","11.08.2024","23:59","0.011105","LC-MS","0.010","0.005","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Bentazon","Pestizide","Bentazon"
"915","29.07.2024","00:00","11.08.2024","23:59","0","LC-MS","0.010","0.005","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Chlortoluron","Pestizide","Chlortoluron"
"915","29.07.2024","00:00","11.08.2024","23:59","0.0000","GC-MS","0.050","0.025","Aabach bei Mönchaltorf","2-Wochenmischprobe","ng/l","Cypermethrin","Pestizide","Cypermethrin"
"915","29.07.2024","00:00","11.08.2024","23:59","0","LC-MS","0.020","0.010","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","DEET","Mikroverunreinigungen","DEET"
"915","29.07.2024","00:00","11.08.2024","23:59","0","LC-MS","0.010","0.005","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Diazinon","Pestizide","Diazinon"
"915","29.07.2024","00:00","11.08.2024","23:59","0.008505","LC-MS","0.010","0.005","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Dimethenamid","Pestizide","Dimethenamid"
"915","29.07.2024","00:00","11.08.2024","23:59","0","LC-MS","0.010","0.005","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Dimethoat","Pestizide","Dimethoat"
"915","29.07.2024","00:00","11.08.2024","23:59","0.002628","LC-MS","0.010","0.005","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Diuron","Pestizide","Diuron"
"915","29.07.2024","00:00","11.08.2024","23:59","0","LC-MS","0.020","0.010","Aabach bei Mönchaltorf","2-Wochenmischprobe","µg/l","Ethofumesat","Pestizide","Ethofumesat"
